fen	san	score	site	c2_pass	best_es	second_best_es	maia_p_600	maia_p_1000	maia_p_1400	maia_p_1800	maia_p_2200	maia_p_2600	gem_600	gem_1000	gem_1400	gem_1800	gem_2200	gem_2600	analysis_url
r3kb1r/qp1b1pp1/p2P4/4pPB1/2nNN3/P6p/2P3PP/3RQRK1 w kq - 2 22	Rf2	3.9	https://lichess.org/Wmz7pwAn	false	0.5936932221056321	0.5613639348680176	0.016329136832707362	0.015044064585877103	0.014842480473767085	0.014976921199859787	0.03858050227954394	0.10348016849944164	false	false	false	false	false	false	https://flawchess.com/analysis?fen=r3kb1r%2Fqp1b1pp1%2Fp2P4%2F4pPB1%2F2nNN3%2FP6p%2F2P3PP%2F3RQRK1%20w%20kq%20-%202%2022
r4rk1/pp1n1p2/2pp1npQ/1P2q2p/P1P1PR2/3PN2P/4B1P1/5RK1 w - - 5 29	Nf5	3.9	https://lichess.org/2WWl7QNu	false	0.623503343299711	0.6060654870564154	0.11004598968207148	0.13270195145303582	0.17182435602472318	0.19229797212858632	0.2469904373478072	0.30235254752343804	false	false	false	false	false	false	https://flawchess.com/analysis?fen=r4rk1%2Fpp1n1p2%2F2pp1npQ%2F1P2q2p%2FP1P1PR2%2F3PN2P%2F4B1P1%2F5RK1%20w%20-%20-%205%2029
r1b2r2/ppqpnpbk/2p1n1p1/4P2p/1PP1P3/P1NBBN2/3Q1PPP/2R2RK1 w - - 0 15	Nd5	3.9	https://lichess.org/J9ETPfrC	false	0.7870339126807213	0.7814266583095536	0.01673831295645134	0.030010494884396333	0.07026798202364516	0.21805800570491501	0.6069157941176846	0.8058707319925947	false	false	false	false	false	false	https://flawchess.com/analysis?fen=r1b2r2%2Fppqpnpbk%2F2p1n1p1%2F4P2p%2F1PP1P3%2FP1NBBN2%2F3Q1PPP%2F2R2RK1%20w%20-%20-%200%2015
rnbqkbnr/pppp2pp/5p2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3	Nxe5	3.9	https://lichess.org/wMKyjj6v	false	0.6321068166142683	0.6260928550975975	0.024269663747514204	0.08101143498261706	0.13881589019157609	0.22637429374742638	0.2923357813148274	0.11427077430781385	false	false	false	false	false	false	https://flawchess.com/analysis?fen=rnbqkbnr%2Fpppp2pp%2F5p2%2F4p3%2F4P3%2F5N2%2FPPPP1PPP%2FRNBQKB1R%20w%20KQkq%20-%200%203
r1b2rk1/pp3pp1/2n1p2p/q3P1N1/1b2NP2/1B2Q3/PP4PP/R4RK1 w - - 0 17	Qh3	3.9	https://lichess.org/K6nTZs85	false	0.5981264356862744	0.5522778816577142	0.12231778422069293	0.11614961044381868	0.1772369558825787	0.19276059089205688	0.1662247595030032	0.11331802248951824	false	false	false	false	false	false	https://flawchess.com/analysis?fen=r1b2rk1%2Fpp3pp1%2F2n1p2p%2Fq3P1N1%2F1b2NP2%2F1B2Q3%2FPP4PP%2FR4RK1%20w%20-%20-%200%2017
rnbqkbnr/pppp2pp/5p2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3	Nxe5	3.9	https://lichess.org/VO5bIeCG	false	0.6406270050754315	0.6295343100667656	0.024269663747514204	0.08101143498261706	0.13881589019157609	0.22637429374742638	0.2923357813148274	0.11427077430781385	false	false	false	false	false	false	https://flawchess.com/analysis?fen=rnbqkbnr%2Fpppp2pp%2F5p2%2F4p3%2F4P3%2F5N2%2FPPPP1PPP%2FRNBQKB1R%20w%20KQkq%20-%200%203
7k/5p1p/5p2/3p1P1P/2nP4/2P5/2K2PR1/r7 b - - 5 36	Ne3+	3.9	https://lichess.org/bu1beYV6	false	0.8613217564210567	0.8504254419957314	0.038294887562390634	0.009539890138983802	0.0024120260199870748	0.0007742649957697295	0.0002789488673246803	0.0001781144510656714	false	false	false	false	false	false	https://flawchess.com/analysis?fen=7k%2F5p1p%2F5p2%2F3p1P1P%2F2nP4%2F2P5%2F2K2PR1%2Fr7%20b%20-%20-%205%2036
1r3rk1/pbp3b1/6pp/2p1pp2/Q1N2n2/P1Pq2NP/1P3PP1/R1B1R1K1 b - - 1 18	Nxh3+	3.9	https://lichess.org/zveohTXA	false	0.8008836319239997	0.7925355100291366	0.0403770473981341	0.03968907272407735	0.037491735860246775	0.0405784106351811	0.05215220986609376	0.05486490791648626	false	false	false	false	false	false	https://flawchess.com/analysis?fen=1r3rk1%2Fpbp3b1%2F6pp%2F2p1pp2%2FQ1N2n2%2FP1Pq2NP%2F1P3PP1%2FR1B1R1K1%20b%20-%20-%201%2018
r1b1rk2/ppp4p/5p2/4N3/2nP4/2P3Q1/P1P2PPP/4R1K1 w - - 2 18	Ng6+	3.9	https://lichess.org/pciDaAjv	false	0.8852947047359662	0.8849202661233511	0.1714361042112746	0.19246429460635986	0.14665522445213203	0.0681907519520277	0.023090872675583296	0.02126798605874724	false	false	false	false	false	false	https://flawchess.com/analysis?fen=r1b1rk2%2Fppp4p%2F5p2%2F4N3%2F2nP4%2F2P3Q1%2FP1P2PPP%2F4R1K1%20w%20-%20-%202%2018
1r1r2k1/2qn1pB1/b3pPp1/p1pp2Np/8/2P1Q3/PP3PPP/R3R1K1 w - - 0 25	Ne4	3.9	https://lichess.org/y92zDuf1	false	0.910496343170818	0.8803435343168133	0.009574940824048053	0.00818747565655893	0.007362184503378677	0.006263471582323929	0.00465396670324278	0.0028914102439969074	false	false	false	false	false	false	https://flawchess.com/analysis?fen=1r1r2k1%2F2qn1pB1%2Fb3pPp1%2Fp1pp2Np%2F8%2F2P1Q3%2FPP3PPP%2FR3R1K1%20w%20-%20-%200%2025
r4rk1/p1p3pp/2p2p2/3pP1n1/5P1q/2P1Q3/PP4PP/RN3RK1 b - - 0 16	fxe5	3.9	https://lichess.org/yxMYMxRr	false	0.5266697440308632	0.47975962678773254	0.2128877482882109	0.1496359912918619	0.07615700751161969	0.04406069156371294	0.08670770752631238	0.18984587724103852	false	false	false	false	false	false	https://flawchess.com/analysis?fen=r4rk1%2Fp1p3pp%2F2p2p2%2F3pP1n1%2F5P1q%2F2P1Q3%2FPP4PP%2FRN3RK1%20b%20-%20-%200%2016
Qn3rk1/p1q2ppp/2p2n2/3p1b2/3P4/2N1P3/PP3PPP/R3KBNR w KQ - 1 11	Bb5	3.9	https://lichess.org/eK5eEfyH	false	0.6380799643424951	0.6303926375862742	0.03033078377131502	0.041659120052752456	0.03937039372319739	0.035084813725568535	0.03969738756185878	0.060059990334586845	false	false	false	false	false	false	https://flawchess.com/analysis?fen=Qn3rk1%2Fp1q2ppp%2F2p2n2%2F3p1b2%2F3P4%2F2N1P3%2FPP3PPP%2FR3KBNR%20w%20KQ%20-%201%2011
r1b2r2/1p1nb2k/pqn1p2p/3pPp2/1P1P3P/P2B1N1R/4NPP1/R1Q2K2 w - - 2 18	Ng5+	3.9	https://lichess.org/HCbVmrIt	false	0.6975866953111407	0.6278152022123592	0.0989890366790664	0.1891273858677137	0.26584851856806263	0.3360597774719823	0.3469846829462808	0.30440256449778	false	false	false	false	false	false	https://flawchess.com/analysis?fen=r1b2r2%2F1p1nb2k%2Fpqn1p2p%2F3pPp2%2F1P1P3P%2FP2B1N1R%2F4NPP1%2FR1Q2K2%20w%20-%20-%202%2018
QQ6/5ppk/5n1p/2p2P2/4p3/1P2P2P/6PK/4q3 b - - 2 37	Ng4+	3.9	https://lichess.org/4JIWRVnN	true	0.5	0.02455256365856777	0.05188715832350619	0.045370407062276595	0.04859497155590393	0.0721993153743736	0.18883373641978982	0.40844465716026396	true	true	true	true	false	false	https://flawchess.com/analysis?fen=QQ6%2F5ppk%2F5n1p%2F2p2P2%2F4p3%2F1P2P2P%2F6PK%2F4q3%20b%20-%20-%202%2037
rn1qkbnr/pp2pppp/2p5/8/3pP3/2N2Q1P/PPPP1PP1/R1B1KB1R w KQkq - 0 6	Bc4	3.9	https://lichess.org/R9SUwzhE	false	0.5586421525846197	0.5477213400816676	0.16788961921124668	0.17055878783662004	0.2035759517474649	0.4226249488994233	0.38702670618650525	0.503710828405825	false	false	false	false	false	false	https://flawchess.com/analysis?fen=rn1qkbnr%2Fpp2pppp%2F2p5%2F8%2F3pP3%2F2N2Q1P%2FPPPP1PP1%2FR1B1KB1R%20w%20KQkq%20-%200%206
3rr1k1/pqp2ppp/3p2b1/2pN4/4PB2/1PQ2P2/PP4PP/4R2K w - - 4 24	Nf6+	3.9	https://lichess.org/iQJn0K13	true	0.5303398401818216	0.3401166567266681	0.043027215991054316	0.031583492377416325	0.014615233427101236	0.006337283396186154	0.0030681652085394156	0.003581655810901139	true	true	true	true	true	true	https://flawchess.com/analysis?fen=3rr1k1%2Fpqp2ppp%2F3p2b1%2F2pN4%2F4PB2%2F1PQ2P2%2FPP4PP%2F4R2K%20w%20-%20-%204%2024
r1q3k1/3b1rbp/p2p2p1/1p1Pn3/2pBP3/2N3NP/PPBQ2PK/4R3 b - - 8 26	Bxh3	3.9	https://lichess.org/hDnWg0Ls	false	0.8296705794728743	0.8043832929840153	0.12940144813350454	0.16650777522775995	0.20048017535099374	0.27092124096149844	0.3912266219411162	0.39109686332901905	false	false	false	false	false	false	https://flawchess.com/analysis?fen=r1q3k1%2F3b1rbp%2Fp2p2p1%2F1p1Pn3%2F2pBP3%2F2N3NP%2FPPBQ2PK%2F4R3%20b%20-%20-%208%2026
5rk1/p4p1p/2p3p1/2qp1NQ1/4r3/2P5/PP3PPP/R5K1 w - - 2 29	Qf6	3.9	https://lichess.org/R9kiqaNf	false	0.5	0.5	0.08222827588601474	0.05689148435999529	0.034001128987145135	0.040132557244222364	0.09706021448674977	0.12167988378671654	false	false	false	false	false	false	https://flawchess.com/analysis?fen=5rk1%2Fp4p1p%2F2p3p1%2F2qp1NQ1%2F4r3%2F2P5%2FPP3PPP%2FR5K1%20w%20-%20-%202%2029
rn1qrk2/2pp1ppB/4p2p/pp1bP3/3PN3/8/PPPQ1PPP/2KR3R w - - 0 15	Nf6	3.9	https://lichess.org/8qRbhJf5	false	0.6252304785769166	0.6200396776969423	0.11273750932023296	0.12066747759429862	0.15531542242632185	0.24804854939175194	0.3633674845778143	0.3014094470444643	false	false	false	false	false	false	https://flawchess.com/analysis?fen=rn1qrk2%2F2pp1ppB%2F4p2p%2Fpp1bP3%2F3PN3%2F8%2FPPPQ1PPP%2F2KR3R%20w%20-%20-%200%2015
