PuzzleId,FEN,PreFlawFEN,FirstMove,PV,Themes,Rating
HAdlf,r2q1r1k/1p2Nppp/p3b3/4Pp2/3Q4/7R/P1P3PP/5RK1 w - - 5 23,r4r1k/1p2Nppp/p3b3/q3Pp2/3Q4/7R/P1P3PP/5RK1 b - - 4 22,a5d8,h3h7 h8h7 d4h4,anastasiaMate attraction kingsideAttack master mate mateIn2 middlegame sacrifice short,1207
pXTyY,8/1p2Qp1p/2p1N1pk/p7/2K1P3/8/PP2n2P/6q1 w - - 2 32,8/1p2Qpkp/2p1N1p1/p7/2K1P3/8/PP2n2P/6q1 b - - 1 31,g7h6,e7h4,anastasiaMate endgame master mate mateIn1 oneMove,1499
9UnM9,3r2k1/Qp3ppp/4r3/2B1q3/8/2N5/PPP1nPPP/R3R2K b - - 4 23,3r2k1/Qp3ppp/4r3/2B1q3/8/2N5/PPP1nPPP/R4R1K w - - 3 23,f1e1,e5h2 h1h2 e6h6,anastasiaMate attraction kingsideAttack mate mateIn2 middlegame sacrifice short,1268
AP0si,Q7/1pk1N3/4p3/2PpP1qp/p7/8/P3nPPK/1R3R2 b - - 2 31,Q7/1pk1N3/4p3/2PpP1qp/p7/8/P3nPP1/1R3RK1 w - - 1 31,g1h2,g5h4,anastasiaMate endgame mate mateIn1 oneMove,1262
PvcRX,3r1rk1/5pp1/p1p5/np2pNR1/P3p3/2PP3P/BP3PP1/6K1 w - - 0 25,3r1rk1/5pp1/p1p5/np1ppNR1/P3P3/2PP3P/BP3PP1/6K1 b - - 0 24,d5e4,f5e7 g8h7 g5h5,anastasiaMate endgame kingsideAttack mate mateIn2 short,1282
67tKx,r4r1k/pp2N1pp/2p5/4Pp2/6b1/8/PPP4R/2K3R1 w - - 2 23,r4rk1/pp2N1pp/2p5/4Pp2/6b1/8/PPP4R/2K3R1 b - - 1 22,g8h8,h2h7 h8h7 g1h1 g4h5 h1h5,anastasiaMate attraction endgame long mate mateIn3 sacrifice,1550
zEBaK,r7/kbRp4/p5Q1/1p2P3/1P6/3P3q/P3n1PP/5R1K b - - 0 27,r7/kbpp4/p5Q1/1p2P3/1P6/3P3q/P3n1PP/2R2R1K w - - 5 27,c1c7,h3h2 h1h2 a8h8 g6h5 h8h5,anastasiaMate attraction long mate mateIn3 middlegame sacrifice,1488
lgnBj,2r2r2/4Nppk/8/3n4/1p4P1/5R2/P4K1P/2n5 w - - 2 39,2r2rk1/4Npp1/8/3n4/1p4P1/5R2/P4K1P/2n5 b - - 1 38,g8h7,f3h3,anastasiaMate endgame mate mateIn1 oneMove,1257
s7hnZ,r1b2rk1/p4ppp/1qN1p3/1n1p4/p4R2/3QP3/P5PP/R5K1 w - - 0 21,r1b2rk1/p4ppp/1qN1p3/1P1p4/p4R2/2nQP3/P5PP/R5K1 b - - 1 20,c3b5,c6e7 g8h8 d3h7 h8h7 f4h4,anastasiaMate attraction kingsideAttack long mate mateIn3 middlegame sacrifice,1432
qD0bj,1K6/pp2r2p/4N1pk/1P2n3/4P3/8/8/5R2 w - - 9 47,1K6/pp1r3p/4N1pk/1P2n3/4P3/8/8/5R2 b - - 8 46,d7e7,f1h1,anastasiaMate endgame master mate mateIn1 oneMove,1219
V8iQU,4rr1k/p3Nppp/1pp5/3nR3/7R/7P/PP3PP1/5K2 w - - 2 25,4rr1k/p3Nppp/1pp2n2/4R3/7R/7P/PP3PP1/5K2 b - - 1 24,f6d5,h4h7 h8h7 e5h5,anastasiaMate attraction endgame mate mateIn2 sacrifice short,1389
Zq7sF,1r3r1k/1b2N1pp/p2q1p2/1p6/4Q3/1P2R3/PBP2PP1/5K2 w - - 4 27,1rb2r1k/4N1pp/p2q1p2/1p6/4Q3/1P2R3/PBP2PP1/5K2 b - - 3 26,c8b7,e4h7 h8h7 e3h3,anastasiaMate attraction kingsideAttack master mate mateIn2 middlegame sacrifice short,1466
j3IsV,r4rk1/pp3ppp/8/3NpR1Q/4n3/8/P1q3PP/3R2K1 w - - 0 20,r4rk1/pp3ppp/8/2nNpR1Q/4P3/8/P1q3PP/3R2K1 b - - 1 19,c5e4,d5e7 g8h8 h5h7 h8h7 f5h5,anastasiaMate attraction long mate mateIn3 middlegame sacrifice,1364
vsl4K,r6q/1Q2p1k1/6p1/pp1pP3/5n2/P7/1PP2PPP/R4RK1 b - - 0 23,r6q/1b2p1k1/1Q4p1/pp1pP3/5n2/P7/1PP2PPP/R4RK1 w - - 2 23,b6b7,f4e2 g1h1 h8h2 h1h2 a8h8,anastasiaMate attraction endgame kingsideAttack long mate mateIn3 sacrifice,1422
Ui4HP,3r1r1k/pp2N1pp/5p2/4n3/6P1/6K1/PP3P2/R6R w - - 6 26,3r1r1k/pp2N1pp/5p2/8/6P1/3n2K1/PP3P2/R6R b - - 5 25,d3e5,h1h7 h8h7 a1h1,anastasiaMate attraction endgame mate mateIn2 sacrifice short,1443
qdmAo,k2r3r/pp1N1p2/4p3/2R5/R5p1/6P1/PP3P1P/1q3NK1 w - - 9 28,k5rr/pp1N1p2/4p3/2R5/R5p1/6P1/PP3P1P/1q3NK1 b - - 8 27,g8d8,a4a7 a8a7 c5a5,anastasiaMate attraction mate mateIn2 middlegame queensideAttack sacrifice short,1390
XShDK,5r1k/p1p1Nppp/b7/4R3/8/6P1/qPQ1PP1P/6K1 w - - 2 22,5rk1/p1p1Nppp/b7/4R3/8/6P1/qPQ1PP1P/6K1 b - - 1 21,g8h8,c2h7 h8h7 e5h5,anastasiaMate attraction endgame mate mateIn2 sacrifice short,1405
m098T,r7/1p3kp1/p5p1/1P2qpQ1/P1Pnp3/8/5PPP/3R1RK1 b - - 4 28,r7/1p3kp1/p5p1/1P2qpQ1/P1Pnp3/8/5PPP/R4RK1 w - - 3 28,a1d1,d4e2 g1h1 e5h2 h1h2 a8h8 g5h6 h8h6,anastasiaMate attraction endgame kingsideAttack mate mateIn4 sacrifice veryLong,1376
